Name      Max Probability    beta (X)    gamma (ZZ)
------  -----------------  ----------  ------------
4v0              0.746386      0.5167        1.9477
4v1              1             0.1963        2.3562
4v2              0.841477      1.2973        2.7239
5v1              0.902783      0.2719        1.013
5v2              0.98126       0.2572        0.2347
6v0              0.629083      0.5848        1.8716
6v1              0.697779      0.2719        2.7368
6v2              0.9375        1.4399        0.7854
6v3              0.789855      0.2203        1.227
7v0              1             0.7854        0.7854
7v1              0.591521      1.2705        1.8986
7v2              0.898632      1.3898        2.1058
7v3              0.966282      1.3453        1.3724
8v0              0.551317      0.6538        1.8956
8v1              0.509957      1.246         0.2781
8v2              0.733425      1.3792        0.3995
8v3              0.875         0.8836        2.3562
8v4              0.756843      1.3791        1.8617
9v0              1             0.7854        0.7854
9v1              0.54137       0.4643        2.2629
9v2              0.580003      1.0372        1.2884
9v3              0.892613      0.1397        1.0441
9v4              0.954272      1.3676        1.3957
10v0             0.513167      0.8416        1.1936
10v1             0.433154      0.4854        2.6686
10v2             0.524566      1.0382        2.1616
10v3             0.46875       1.021         0.7854
10v4             0.820312      1.4923        0.7854
10v5             0.732525      0.1715        1.3143
