Name      Max Probability    b1 (X)    g1 (ZZ)
------  -----------------  --------  ---------
3v0               1          0.3331     1.9039
3v1               0.96295    0.119      2.9037
4v0               0.71336    0.3086     1.1502
4v1               0.8411     0.2401     1.8868
4v2               0.89703    0.1516     2.8213
5v0               0.81537    0.3834     1.7644
5v1               0.99461    0.1974     1.9124
5v2               0.98875    1.4203     0.1472
6v0               0.75715    0.3892     0.1617
6v1               0.47913    0.6088     0.1689
6v2               0.87785    0.1798     1.8549
6v3               0.67662    0.4089     1.4385
7v0               0.70124    0.9628     1.1013
7v1               0.81787    0.2476     0.2102
7v2               0.95992    0.1406     1.9126
7v3               0.88672    0.2416     0.9914
8v0               0.80854    0.5615     1.8532
8v1               0.56549    0.8328     0.5912
8v2               0.80451    0.5569     0.5959
8v3               0.87892    0.1399     1.8457
8v4               0.69759    0.2366     2.2617
9v0               0.73616    0.4474     2.0016
9v1               0.55866    0.7059     1.1531
9v2               0.8419     0.1856     1.7796
9v3               0.92571    0.1111     1.9152
9v4               0.8811     0.2711     1.1386
10v0              0.79944    0.5095     1.8243
10v1              0.71336    0.7119     0.9407
10v2              0.61978    0.3633     1.2942
10v3              0.56568    0.577      0.7088
10v4              0.6415     0.0417     0.859
10v5              0.7932     0.0939     2.9537
11v0              0.64172    0.4871     1.1353
11v1              0.65134    0.5188     1.8269
11v2              0.61078    0.982      0.895
11v3              0.84844    0.1487     0.2078
11v4              0.89424    0.0925     1.9171
11v5              0.96351    1.4631     0.1027
12v0              0.6753     0.476      1.8032
12v1              0.56375    0.9191     0.294
12v2              0.62843    0.217      0.1296
12v3              0.28583    0.0899     0.6511
12v4              0.45531    0.0602     2.1622
12v5              0.61254    0.0356     0.8648
12v6              0.77412    0.0851     2.9714
13v0              0.50281    0.3969     0.3003
13v1              0.49432    0.9936     0.368
13v2              0.49607    0.8622     1.1963
13v3              0.44199    1.0617     0.5118
13v4              0.84557    0.1243     1.778
13v5              0.8653     0.0797     1.9182
13v6              0.95715    1.4709     0.0947
14v0              0.50389    0.4513     0.0783
14v1              0.57512    0.4913     0.2349
14v2              0.66699    0.4953     0.9634
14v3              0.43599    0.7138     0.3161
14v4              0.41023    0.7812     1.4208
14v5              0.52346    0.276      0.9048
14v6              0.75509    0.1251     2.8325
14v7              0.5067     1.0847     0.8482
15v0              0.48483    0.4556     0.074
15v1              0.58814    0.3597     1.145
15v2              0.45319    0.4971     2.0236
15v3              0.333      0.8814     0.1064
15v4              0.41997    0.9531     0.1161
15v5              0.6802     0.207      0.9498
15v6              0.83864    0.0701     1.9189
15v7              0.95145    1.4772     0.0883
16v0              0.46485    0.6893     0.3771
16v1              0.86761    0.4919     1.2336
16v2              0.69665    1.0636     0.4383
16v3              0.45615    1.232      0.349
16v4              0.32274    0.6154     1.4953
16v5              0.64822    1.1138     0.911
16v6              0.84307    0.0868     0.2703
16v7              0.81951    0.0811     1.8262
16v8              0.74485    0.0728     2.9961
17v0              0.37441    0.4627     1.2449
17v1              0.42798    0.4766     1.7341
17v2              0.52878    0.6247     1.3836
17v3              0.55359    0.9468     0.9594
17v4              0.36147    0.7325     1.3784
17v5              0.53579    0.7328     1.191
17v6              0.42008    0.0353     2.5041
17v7              0.81404    0.0627     1.9194
17v8              0.94626    1.4825     0.0829
18v0              0.50001    0.7857     0.3904
18v1              0.45209    0.5939     1.9029
18v2              0.49009    0.491      1.0607
18v3              0.3564     1.2901     0.499
18v4              0.55727    0.1675     0.1023
18v5              0.35597    0.135      1.9107
18v6              0.41083    0.2694     2.0619
18v7              0.82418    0.0788     0.2739
18v8              0.80142    0.0733     1.8245
18v9              0.73308    0.0682     3.0051
