Name                      Max Probability    beta (X)    gamma (ZZ)
----------------------  -----------------  ----------  ------------
3v3                            0.694444        1.093         1.231
3v2 1                          0.5             0             3.1056
3v1 1 1                        0.694444        0.4777        1.231
4v4                            0.463045        1.145         0.9985
4v3 1                          0.361266        0.3927        2.4702
4v2 1 1                        0.361266        1.178         2.4702
4v2 2                          0.321339        1.141         1.8347
4v1 1 1 1                      0.463045        0.4263        0.9985
4v1 2 1                        0.321339        0.4293        1.8347
5v5                            0.343422        1.134         0.9954
5v4 1                          0.273558        0.4382        2.2965
5v3 1 1                        0.125           0.0195        3.1416
5v3 2                          0.329359        1.188         1.1018
5v2 1 2                        0.170862        1.087         2.269
5v2 1 1 1                      0.273558        1.133         2.2965
5v2 2 1                        0.195313        0.7854        2.0944
5v1 1 2 1                      0.329359        0.3832        1.1018
5v1 1 1 1 1                    0.343422        0.437         0.9954
5v1 3 1                        0.170862        0.4835        2.269
6v6                            0.248961        1.131         0.9734
6v5 1                          0.185251        0.4042        2.3759
6v4 1 1                        0.0722356       0.1784        2.5831
6v4 2                          0.223295        1.211         0.9611
6v3 1 2                        0.0837643       1.411         1.8702
6v3 1 1 1                      0.149058        0.79          1.2072
6v3 2 1                        0.0948614       0.31          2.3936
6v3 3                          0.117573        1.071         1.0793
6v2 1 2 1                      0.152945        0.8464        1.9645
6v2 1 1 1 1                    0.142662        0.4005        0.6131
6v2 1 1 2                      0.141923        1.078         2.1284
6v2 2 2                        0.133137        1.096         1.7353
6v2 2 1 1                      0.0830499       0.264         0.8122
6v2 3 1                        0.152945        0.7244        1.9645
6v1 1 3 1                      0.0837643       0.1594        1.8702
6v1 1 2 1 1                    0.117573        0.4999        1.0793
6v1 1 1 1 1 1                  0.248961        0.4402        0.9734
6v1 1 1 2 1                    0.223295        0.36          0.9611
6v1 2 2 1                      0.133137        0.4745        1.7353
6v1 4 1                        0.141923        0.493         2.1284
7v7                            0.180387        1.132         0.9544
7v6 1                          0.100942        1.158         0.658
7v5 1 1                        0.0466299       0.2375        2.5117
7v5 2                          0.166999        1.186         0.983
7v4 1 2                        0.044968        1.427         1.2523
7v4 1 1 1                      0.0831433       0.7854        0.9901
7v4 2 1                        0.0852653       0.4515        2.1219
7v4 3                          0.152568        1.157         0.8905
7v3 1 3                        0.0237025       0.8997        0.71
7v3 1 2 1                      0.03125         0.0196        3.1416
7v3 1 1 1 1                    0.0466299       1.333         2.5117
7v3 1 1 2                      0.0599028       1.286         1.9604
7v3 2 2                        0.120601        1.157         1.3739
7v3 2 1 1                      0.03125         0             3.1055
7v3 3 1                        0.0563903       0.9469        1.1046
7v2 1 3 1                      0.0831433       0.7854        2.1515
7v2 1 2 1 1                    0.0567796       1.254         2.5481
7v2 1 2 2                      0.107311        1.112         2.1115
7v2 1 1 1 2                    0.100621        1.095         2.1778
7v2 1 1 1 1 1                  0.13698         1.15          2.3352
7v2 1 1 2 1                    0.0798491       0.9625        2.2251
7v2 2 2 1                      0.0513538       0.3724        1.6795
7v2 2 1 1 1                    0.0852653       1.119         2.1219
7v2 3 2                        0.0397344       1.224         0.9686
7v2 3 1 1                      0.03125         0.0196        3.1416
7v2 4 1                        0.0798491       0.6083        2.2251
7v1 1 4 1                      0.0599028       0.2848        1.9604
7v1 1 3 1 1                    0.0237025       0.6711        0.71
7v1 1 2 1 1 1                  0.152568        0.4142        0.8905
7v1 1 2 2 1                    0.120601        0.4142        1.3739
7v1 1 1 1 2 1                  0.166999        0.3853        0.983
7v1 1 1 1 1 1 1                0.180387        0.4387        0.9544
7v1 1 1 3 1                    0.044968        0.1434        1.2523
7v1 2 3 1                      0.107311        0.4585        2.1115
7v1 2 1 2 1                    0.0397344       0.3464        0.9686
7v1 5 1                        0.100621        0.4759        2.1778
8v8                            0.131451        1.131         0.9468
8v7 1                          0.072042        1.154         0.6903
8v6 1 1                        0.0316866       0.2777        2.4489
8v6 2                          0.119492        1.179         0.9519
8v5 1 2                        0.0308862       0.7532        2.1978
8v5 1 1 1                      0.0476449       0.8881        1.0122
8v5 2 1                        0.0548709       0.4024        2.2535
