Name             Max Probability
-------------  -----------------
2v2                    1
2v1 1                  1
3v3                    0.838764
3v2 1                  0.78125
3v1 1 1                0.838764
4v4                    0.644058
4v3 1                  0.320703
4v2 1 1                0.320703
4v2 2                  0.330594
4v1 1 1 1              0.644058
4v1 2 1                0.330594
5v5                    0.402111
5v4 1                  0.230099
5v3 1 1                0.219471
5v3 2                  0.338367
5v2 1 2                0.25
5v2 1 1 1              0.230099
5v2 2 1                0.219471
5v1 1 2 1              0.339663
5v1 1 1 1 1            0.402111
5v1 3 1                0.25
6v6                    0.306694
6v5 1                  0.220251
6v4 1 1                0.161112
6v4 2                  0.228264
6v3 1 2                0.154402
6v3 1 1 1              0.161112
6v3 2 1                0.160878
6v3 3                  0.185667
6v2 1 2 1              0.126826
6v2 1 1 1 1            0.220251
6v2 1 1 2              0.073662
6v2 2 2                0.104682
6v2 2 1 1              0.160878
6v2 3 1                0.126826
6v1 1 3 1              0.154402
6v1 1 2 1 1            0.185667
6v1 1 1 1 1 1          0.306694
6v1 1 1 2 1            0.228264
6v1 2 2 1              0.104682
6v1 4 1                0.073662
7v7                    0.230514
7v6 1                  0.145995
7v5 1 1                0.109715
7v5 2                  0.180396
7v4 1 2                0.0800118
7v4 1 1 1              0.0621252
7v4 2 1                0.0708663
7v4 3                  0.20823
