Name                 Max Probability
-----------------  -----------------
3v3                        1
3v1 2                      1
4v4                        0.984406
4v1 3                      0.5
4v2 2                      0.5
4v1 1 1 1                  0.984406
5v5                        1
5v1 4                      0.512099
5v2 3                      0.650642
5v1 1 1 2                  0.925545
6v6                        0.376454
6v1 5                      0.507955
6v2 4                      0.40188
6v1 1 1 3                  0.507955
6v3 3                      0.330606
6v1 2 1 2                  0.330606
6v1 1 2 2                  0.40188
6v1 1 1 1 1 1              0.376454
7v7                        0.284524
7v1 6                      0.385565
7v2 5                      0.351716
7v1 1 1 4                  0.31111
7v3 4                      0.398762
7v1 2 1 3                  0.22926
7v1 1 2 3                  0.245725
7v1 2 2 2                  0.355468
7v1 1 1 1 1 2              0.72013
8v8                        0.213884
8v1 7                      0.201104
8v2 6                      0.294051
8v1 1 1 5                  0.108532
8v3 5                      0.270715
8v1 2 1 4                  0.0939028
8v1 1 2 4                  0.178933
8v4 4                      0.311428
8v1 3 1 3                  0.121204
8v1 2 2 3                  0.320077
8v1 1 1 1 1 3              0.201104
8v1 1 3 3                  0.0939028
8v2 1 2 3                  0.150189
8v1 2 1 1 1 2              0.270715
8v1 1 1 1 2 2              0.294051
8v1 1 2 1 1 2              0.311428
8v2 2 2 2                  0.123051
8v1 1 1 1 1 1 1 1          0.213884
