Name      Max Probability    b1 (X)    g1 (ZZ)    b2 (X)    g2 (ZZ)
------  -----------------  --------  ---------  --------  ---------
3v0               1          0.0423     0.4617    0.637      1.7825
3v1               1          0.2248     1.1118    0.1385     0.3775
4v0               1          0.5966     0.3278    0.308      0.3411
4v1               1          0          0.5305    0.1963     0.2549
4v2               1          0.7106     1.1117    0.6046     0.1286
5v0               1          0.9782     0.1482    0.7458     0.9253
5v1               0.999      0.6863     1.1089    0.7596     0.1482
5v2               1          0.0522     2.2533    0.2699     2.2343
6v0               1          0.1309     2.3562    0.7854     1.1781
6v1               0.81296    0.5089     2.1238    0.2076     0.1072
6v2               0.99418    0.8944     0.144     0.6499     0.8857
6v3               0.88609    0.3219     2.4057    0.2604     1.0016
7v0               1          0.17       2.3562    0.6154     0
7v1               0.99399    0.3099     0.6997    0.7996     0.978
7v2               0.92616    0.194      2.1549    0.0498     2.816
7v3               0.96628    0.4913     0         1.3453     0.1984
8v0               0.85417    0.6296     1.1028    0.4341     0.4154
8v1               0.56584    1.0147     1.1122    0.5884     1.5992
8v2               0.86835    0.4289     1.2811    1.3154     0.4422
8v3               0.9853     0.7342     0.878     0.6352     1.6158
8v4               0.89498    0.9174     1.3068    0.4406     0.044
9v0               1          1.1108     0         0.7854     0.7854
9v1               0.86124    0.4847     0.2536    0.5773     1.1675
9v2               0.79193    0.4161     1.2031    0.5884     1.746
9v3               0.96766    0.6705     0.5408    0.6865     1.6199
9v4               0.95427    0.3697     1.7459    0.9978     0
10v0              0.79244    0.3187     0.195     0.4104     1.3734
10v1              0.81915    1.0384     0.6168    0.7757     0.5337
10v2              0.69761    0.3996     0.7248    0.6145     0.1927
10v3              0.83914    0.1106     0.1873    0.155      1.0501
10v4              0.98213    0.7205     0.7011    0.6412     1.5364
10v5              0.98712    1.3725     0.1509    0.0816     2.2695
11v0              1          0.2276     2.3562    0.5578     0
11v1              0.63025    0.7605     1.176     1.4852     0
11v2              0.54009    1.1764     0         0.4033     0.5877
11v3              0.86902    0.2413     1.7719    0.2454     0.5557
11v4              0.88497    0.2279     1.5596    0.1144     2.1032
11v5              0.94424    0          2.6439    0.1865     1.9102
12v0              1          0.1963     0.7854    0.7854     1.1781
12v1              0.72091    0.8544     0.8597    0.7938     1.3379
12v2              0.64537    0.0787     0.8885    0.9343     0.1029
12v3              0.62876    0.2976     0.4096    0.0969     0.177
12v4              0.8401     0.079      0.203     0.1286     1.0316
12v5              0.77349    0.4032     2.3307    1.1018     0
12v6              0.98273    1.3866     0.1383    0.07       2.2693
13v0              1          1.5495     0         0.7854     0.7854
13v1              0.80374    0.4942     0.7737    0.1468     1.2119
13v2              0.67226    0.7843     0.3419    0.9716     0.4884
13v3              0.71452    0.3119     1.1989    1.0056     0.0534
13v4              0.85194    0.5759     1.2402    0.8567     0.0183
13v5              0.93319    0.0691     0.4121    0.0658     1.8283
13v6              0.98275    0.0257     1.9136    0.1742     2.6708
14v0              0.80659    0.109      0.3937    0.8326     0.2086
14v1              0.70134    0.2418     1.1491    0.8344     1.0178
14v2              0.58571    0.3663     1.3743    0.6223     0.6057
14v3              0.61322    0.2286     1.2896    0.0809     2.6725
14v4              0.76312    1.0173     0.139     0.1349     1.3485
14v5              0.48877    0          0.0395    1.0659     0.7459
14v6              0.86538    0.0646     0.5726    0.2711     1.2518
14v7              0.67723    1.1385     0.1751    0.2727     2.3361
15v0              1          0          0.0088    0.7854     0.7766
15v1              0.87383    1.0342     0.8297    0.1179     2.4641
15v2              0.80905    0.1724     0.1523    0.7194     0.3245
15v3              0.70028    0.5905     1.2191    0.182      0.3801
15v4              0.57861    0.049      1.1472    0.2393     1.3098
15v5              0.92331    0.1509     1.8299    0.0955     1.7853
15v6              0.90797    0.0603     0.412     0.0574     0.2564
15v7              0.92801    0          0.0053    1.4082     0.1298
16v0              0.70161    1.1222     0.3452    0.4644     0.1417
16v1              0.69585    1.2599     0.5995    0.778      0.5217
16v2              0.62853    0.4423     0.5354    0.617      1.7211
16v3              0.55005    0.0729     0.6524    0.5714     1.4972
16v4              0.58932    0.1624     0.621     0.5685     1.539
16v5              0.87704    0.1741     0.2167    0.1051     0.1849
16v6              0.77577    0.0926     1.1785    0          0.0885
16v7              0.97174    1.366      0.0578    0.0524     0.7507
16v8              0.68436    0.1357     1.7659    0          2.3504
17v0              1          0          2.3157    0.7854     0.0405
17v1              0.49801    0.0192     0.3359    1.0072     0.4932
17v2              0.64962    1.3285     0.351     0.3601     0.362
17v3              0.67257    0.4653     1.2087    0.7648     1.1399
17v4              0.69534    1.2476     0.4913    0.1006     2.9182
17v5              0.64656    0.0462     2.9154    0.2546     2.4738
17v6              0.92254    0.1313     1.8298    0.0835     0.2122
17v7              0.88644    0.7563     1.048     0.7587     0.0067
17v8              0.92123    0.7056     0.1266    0.7115     0
18v0              1          0.3927     2.3562    0.7854     0.3927
18v1              0.68872    0.0429     2.1061    0.8812     1.3006
18v2              0.50781    1.4086     0.1918    0.4791     1.327
18v3              0.57442    0.9844     0.229     0.9739     0.1877
18v4              0.4324     0.8496     0.935     1.0167     0.4547
18v5              0.36123    0.1407     0.6991    0.688      0.8753
18v6              0.88099    0.1519     0.217     0.0919     0.1827
18v7              0.92747    0.0869     1.2527    0.062      2.9058
18v8              0.89056    0.0622     0.6489    0.18       0.1497
18v9              0.67283    0          2.033     0.1279     2.8614
