Name      Max Probability
------  -----------------
3v0               1
3v1               1
4v0               0.98539
4v1               1
4v2               1
5v0               1
5v1               1
5v2               1
6v0               1
6v1               0.97656
6v2               0.99998
6v3               1
7v0               1
7v1               0.9956
7v2               0.9286
7v3               0.99937
8v0               0.99953
8v1               0.94665
8v2               0.95892
8v3               0.97146
8v4               0.99984
9v0               1
9v1               0.97428
9v2               0.9169
9v3               0.9396
9v4               0.99188
10v0              0.9722
10v1              0.99496
10v2              0.88737
10v3              0.97748
10v4              0.90621
10v5              0.9972
11v0              1
11v1              0.97735
11v2              0.82402
11v3              0.94213
11v4              0.94308
11v5              0.99881
12v0              0.92811
12v1              0.87735
12v2              0.84074
12v3              0.72129
12v4              0.92537
12v5              0.77344
12v6              0.98273
13v0              1
13v1              0.75762
13v2              0.96254
13v3              0.83605
13v4              0.78402
13v5              0.88108
13v6              0.99613
14v0              0.85845
14v1              0.73823
14v2              0.658
14v3              0.822
14v4              0.90521
14v5              0.86403
14v6              0.8644
14v7              0.97859
15v0              1
15v1              0.76103
15v2              0.91774
15v3              0.86598
15v4              0.861
15v5              0.90536
15v6              0.87602
15v7              0.97651
16v0              1
16v1              0.60048
16v2              0.65817
16v3              0.73834
16v4              0.8076
16v5              0.46227
16v6              0.93908
16v7              0.97211
16v8              0.77409
17v0              1
17v1              0.75444
17v2              0.66239
17v3              0.80432
17v4              0.71776
17v5              0.68144
17v6              0.92254
17v7              0.99366
17v8              0.99958
18v0              0.87089
18v1              0.70604
18v2              0.76853
18v3              0.77483
18v4              0.70416
18v5              0.75309
18v6              0.73922
18v7              0.90226
18v8              0.88541
18v9              0.98897
