Name                          Max Probability
--------------------------  -----------------
3v3                                1
3v2 1                              1
4v4                                0.539854
4v3 1                              0.5
4v2 2                              0.5
4v1 1 1 1                          0.539854
5v5                                0.410504
5v4 1                              0.398548
5v3 2                              0.515016
5v2 1 1 1                          0.878906
6v6                                0.301718
6v5 1                              0.262156
6v4 2                              0.426097
6v3 1 1 1                          0.262156
6v3 3                              0.375
6v2 1 2 1                          0.375
6v2 1 1 2                          0.426097
6v1 1 1 1 1 1                      0.301718
7v7                                0.217057
7v6 1                              0.19861
7v5 2                              0.375115
7v4 1 1 1                          0.241076
7v4 3                              0.292161
7v3 1 2 1                          0.119413
7v3 1 1 2                          0.241347
7v2 1 2 2                          0.226905
7v2 1 1 1 1 1                      0.648108
8v8                                0.158833
8v7 1                              0.146843
8v6 2                              0.301619
8v5 1 1 1                          0.140625
8v5 3                              0.254211
8v4 1 2 1                          0.0938648
8v4 1 1 2                          0.177734
8v4 4                              0.114386
8v3 1 3 1                          0.03125
8v3 1 2 2                          0.125
8v3 1 1 1 1 1                      0.146843
8v3 1 1 3                          0.0938648
8v3 2 1 2                          0.078125
8v2 1 2 1 1 1                      0.254211
8v2 1 1 1 1 2                      0.301619
8v2 1 1 2 1 1                      0.114386
8v2 2 2 2                          0.0674818
8v1 1 1 1 1 1 1 1                  0.158833
9v9                                0.11571
9v8 1                              0.109303
9v7 2                              0.244789
9v6 1 1 1                          0.0957802
9v6 3                              0.205669
9v5 1 2 1                          0.140625
9v5 1 1 2                          0.111007
9v5 4                              0.189383
9v4 1 3 1                          0.0387176
9v4 1 2 2                          0.0807112
9v4 1 1 1 1 1                      0.167212
9v4 1 1 3                          0.128575
9v4 2 1 2                          0.140625
9v3 1 3 2                          0.140625
9v3 1 2 1 1 1                      0.117356
9v3 1 2 3                          0.0779791
9v3 1 1 1 1 2                      0.120637
9v3 1 1 2 1 1                      0.140625
9v3 2 2 2                          0.0994164
9v2 1 2 1 2 1                      0.0386148
9v2 1 2 1 1 2                      0.211511
9v2 1 1 1 2 2                      0.167179
9v2 1 1 1 1 1 1 1                  0.438882
10v10                              0.0842394
10v9 1                             0.0818343
10v8 2                             0.197174
10v7 1 1 1                         0.0726739
10v7 3                             0.164992
10v6 1 2 1                         0.0334617
10v6 1 1 2                         0.0715288
10v6 4                             0.14974
10v5 1 3 1                         0.0246908
10v5 1 2 2                         0.0561907
10v5 1 1 1 1 1                     0.0726739
10v5 1 1 3                         0.0876314
10v5 2 1 2                         0.0493531
10v5 5                             0.0794763
10v4 1 4 1                         0.018488
10v4 1 3 2                         0.0523999
10v4 1 2 1 1 1                     0.0876314
10v4 1 2 3                         0.0527668
10v4 1 1 1 1 2                     0.0715288
10v4 1 1 2 1 1                     0.0530495
10v4 1 1 4                         0.0530495
10v4 2 2 2                         0.0774587
10v4 2 1 3                         0.0527342
10v3 1 3 1 1 1                     0.0246908
10v3 1 3 3                         0.0267762
10v3 1 2 1 2 1                     0.0267762
10v3 1 2 1 1 2                     0.0527342
10v3 1 2 2 1 1                     0.0523999
10v3 1 1 1 2 2                     0.0562153
10v3 1 1 1 1 1 1 1                 0.0818343
10v3 1 1 1 1 3                     0.0334617
10v3 1 1 2 1 2                     0.0527668
10v3 1 1 3 1 1                     0.018488
10v3 2 3 2                         0.0242237
10v3 2 2 3                         0.0561919
10v3 2 1 1 1 2                     0.0493531
10v2 1 2 1 2 2                     0.0561919
10v2 1 2 1 1 1 1 1                 0.164992
10v2 1 2 2 1 2                     0.0242237
10v2 1 1 1 2 1 1 1                 0.0794763
10v2 1 1 1 1 1 1 2                 0.197174
10v2 1 1 1 1 2 1 1                 0.14974
10v2 1 1 2 2 2                     0.0774587
10v1 1 1 1 1 1 1 1 1 1             0.0842394
11v11                              0.0613954
11v10 1                            0.0611398
11v9 2                             0.156756
11v8 1 1 1                         0.0516939
11v8 3                             0.132723
11v7 1 2 1                         0.0261618
11v7 1 1 2                         0.0559216
11v7 4                             0.11858
11v6 1 3 1                         0.0164625
11v6 1 2 2                         0.0401453
11v6 1 1 1 1 1                     0.042423
11v6 1 1 3                         0.0692904
11v6 2 1 2                         0.0320941
11v6 5                             0.124951
11v5 1 4 1                         0.020673
11v5 1 3 2                         0.0364091
11v5 1 2 1 1 1                     0.0511896
11v5 1 2 3                         0.0369034
11v5 1 1 1 1 2                     0.0548059
11v5 1 1 2 1 1                     0.028661
11v5 1 1 4                         0.0653363
11v5 2 2 2                         0.0672237
11v5 2 1 3                         0.0368639
11v4 1 4 2                         0.0182591
11v4 1 3 1 1 1                     0.0361925
11v4 1 3 3                         0.0353296
11v4 1 2 1 2 1                     0.0230783
11v4 1 2 1 1 2                     0.0226241
11v4 1 2 2 1 1                     0.0321304
11v4 1 2 4                         0.0370709
11v4 1 1 1 2 2                     0.0444025
11v4 1 1 1 1 1 1 1                 0.0841059
11v4 1 1 1 1 3                     0.0443411
11v4 1 1 2 1 2                     0.040117
11v4 1 1 3 1 1                     0.0311219
11v4 2 3 2                         0.038779
11v4 2 2 3                         0.0792449
11v4 2 1 1 1 2                     0.0308957
11v4 3 1 3                         0.0177113
11v3 1 3 1 2 1                     0.0113121
11v3 1 3 1 1 2                     0.0226682
11v3 1 2 1 2 2                     0.0243914
11v3 1 2 1 1 1 1 1                 0.0651901
11v3 1 2 1 1 3                     0.0228011
11v3 1 2 2 2 1                     0.0142622
11v3 1 2 2 1 2                     0.0244037
11v3 1 2 3 1 1                     0.0226684
11v3 1 1 1 3 2                     0.013921
11v3 1 1 1 2 1 1 1                 0.0301444
11v3 1 1 1 2 3                     0.0233543
11v3 1 1 1 1 1 1 2                 0.0648328
11v3 1 1 1 1 2 1 1                 0.0598251
11v3 1 1 2 2 2                     0.0290016
11v3 2 3 3                         0.0325734
11v3 2 2 1 1 2                     0.0423366
11v3 2 1 2 1 2                     0.0130658
11v2 1 2 1 2 1 1 1                 0.0631433
11v2 1 2 1 1 1 1 2                 0.137004
11v2 1 2 1 1 2 1 1                 0.0547557
11v2 1 2 2 2 2                     0.0428732
11v2 1 1 1 2 1 1 2                 0.1354
11v2 1 1 1 1 1 2 2                 0.0974948
11v2 1 1 1 1 1 1 1 1 1             0.283754
12v12                              0.0447274
12v11 1                            0.0457378
12v10 2                            0.123919
12v9 1 1 1                         0.0381786
12v9 3                             0.105233
12v8 1 2 1                         0.0240067
12v8 1 1 2                         0.0389792
12v8 4                             0.0934864
12v7 1 3 1                         0.0112017
12v7 1 2 2                         0.0291845
12v7 1 1 1 1 1                     0.031901
12v7 1 1 3                         0.0510551
12v7 2 1 2                         0.0253562
12v7 5                             0.0986201
12v6 1 4 1                         0.0130176
12v6 1 3 2                         0.046875
12v6 1 2 1 1 1                     0.0241113
12v6 1 2 3                         0.02629
12v6 1 1 1 1 2                     0.0256086
12v6 1 1 2 1 1                     0.024436
12v6 1 1 4                         0.0517408
12v6 2 2 2                         0.048143
12v6 2 1 3                         0.026268
12v6 6                             0.048726
12v5 1 5 1                         0.0117187
12v5 1 4 2                         0.0258551
12v5 1 3 1 1 1                     0.0208333
12v5 1 3 3                         0.0253423
12v5 1 2 1 2 1                     0.0143873
12v5 1 2 1 1 2                     0.0117187
12v5 1 2 2 1 1                     0.0118072
12v5 1 2 4                         0.046875
12v5 1 1 1 2 2                     0.046875
12v5 1 1 1 1 1 1 1                 0.0381786
12v5 1 1 1 1 3                     0.0241113
12v5 1 1 2 1 2                     0.014472
12v5 1 1 3 1 1                     0.0242747
12v5 1 1 5                         0.0212534
12v5 2 3 2                         0.0312825
12v5 2 2 3                         0.0670848
12v5 2 1 1 1 2                     0.0288736
12v5 2 1 4                         0.0264532
12v5 3 1 3                         0.0234375
12v4 1 4 1 1 1                     0.0242747
12v4 1 4 3                         0.0139366
12v4 1 3 1 2 1                     0.011904
12v4 1 3 1 1 2                     0.046875
12v4 1 3 2 1 1                     0.0117188
12v4 1 3 4                         0.0247458
12v4 1 2 1 2 2                     0.0117188
12v4 1 2 1 1 1 1 1                 0.0510551
12v4 1 2 1 1 3                     0.046875
12v4 1 2 2 2 1                     0.0234375
12v4 1 2 2 1 2                     0.0117188
12v4 1 2 3 1 1                     0.0117188
12v4 1 1 1 3 2                     0.0118072
12v4 1 1 1 2 1 1 1                 0.0212534
12v4 1 1 1 2 3                     0.014472
12v4 1 1 1 1 1 1 2                 0.0389792
12v4 1 1 1 1 2 1 1                 0.0517408
12v4 1 1 1 1 4                     0.024436
12v4 1 1 2 2 2                     0.046875
12v4 1 1 2 1 3                     0.0126029
12v4 1 1 3 1 2                     0.0117187
12v4 1 1 4 1 1                     0.0144368
12v4 2 4 2                         0.0154537
12v4 2 3 3                         0.0488777
12v4 2 2 1 1 2                     0.0238233
12v4 2 2 4                         0.0302756
12v4 2 1 1 1 3                     0.0117256
12v4 2 1 2 1 2                     0.011667
12v4 3 2 3                         0.0237832
12v3 1 3 1 3 1                     0.0078125
12v3 1 3 1 2 2                     0.0117188
12v3 1 3 1 1 1 1 1                 0.0112017
12v3 1 3 1 1 3                     0.0117296
12v3 1 3 2 1 2                     0.00585937
12v3 1 2 1 3 2                     0.00585938
12v3 1 2 1 2 1 1 1                 0.0253423
12v3 1 2 1 2 3                     0.046875
12v3 1 2 1 1 1 2 1                 0.0234375
12v3 1 2 1 1 1 1 2                 0.026268
12v3 1 2 1 1 2 1 1                 0.0247458
12v3 1 2 2 2 2                     0.0150959
12v3 1 2 2 1 1 1 1                 0.046875
12v3 1 2 2 1 3                     0.00585938
12v3 1 2 3 2 1                     0.00585937
12v3 1 2 3 1 2                     0.0234375
12v3 1 1 1 3 1 1 1                 0.0117187
12v3 1 1 1 3 3                     0.0143873
12v3 1 1 1 2 1 1 2                 0.046875
12v3 1 1 1 2 2 1 1                 0.0258551
12v3 1 1 1 1 1 2 2                 0.0291845
12v3 1 1 1 1 1 1 1 1 1             0.0457378
12v3 1 1 1 1 1 1 3                 0.0240067
12v3 1 1 1 1 2 1 2                 0.02629
12v3 1 1 1 1 3 1 1                 0.0130176
12v3 1 1 2 3 2                     0.0117188
12v3 1 1 2 2 3                     0.0117188
12v3 1 1 2 1 1 1 2                 0.0264532
12v3 1 1 2 1 2 1 1                 0.0139366
12v3 1 1 3 2 2                     0.0234375
12v3 2 2 1 2 2                     0.0234375
12v3 2 2 2 1 2                     0.0252241
12v3 2 1 1 2 3                     0.011667
12v3 2 1 1 1 1 1 2                 0.0253562
12v3 3 3 3                         0.00764614
12v2 1 2 1 2 1 2 1                 0.00764614
12v2 1 2 1 2 1 1 2                 0.0488777
12v2 1 2 1 1 1 2 2                 0.0670848
12v2 1 2 1 1 1 1 1 1 1             0.105233
12v2 1 2 1 1 2 1 2                 0.0237832
12v2 1 2 2 1 1 1 2                 0.0312825
12v2 1 1 1 2 1 1 1 1 1             0.0986201
12v2 1 1 1 1 1 1 1 1 2             0.123919
12v2 1 1 1 1 1 1 2 1 1             0.0934864
12v2 1 1 1 1 2 2 2                 0.048143
12v2 1 1 1 1 2 1 1 1 1             0.048726
12v2 1 1 2 2 1 1 2                 0.0154537
12v2 1 1 2 2 2 1 1                 0.0302756
12v2 2 2 2 2 2                     0.00942869
12v1 1 1 1 1 1 1 1 1 1 1 1         0.0447274
13v13                              0.0325851
13v12 1                            0.0342171
13v11 2                            0.0973602
13v10 1 1 1                        0.0285445
13v10 3                            0.0829674
13v9 1 2 1                         0.0116079
13v9 1 1 2                         0.0292355
13v9 4                             0.0731397
13v8 1 3 1                         0.00770472
13v8 1 2 2                         0.021356
13v8 1 1 1 1 1                     0.0195275
13v8 1 1 3                         0.0377065
13v8 2 1 2                         0.0174179
13v8 5                             0.0777291
13v7 1 4 1                         0.00966626
13v7 1 3 2                         0.0185212
13v7 1 2 1 1 1                     0.0159532
13v7 1 2 3                         0.0189631
13v7 1 1 1 1 2                     0.017455
13v7 1 1 2 1 1                     0.0143319
13v7 1 1 4                         0.0390649
