Name             Max Probability
-------------  -----------------
3v3                     1
3v2 1                   1
4v4                     1
4v3 1                   0.5
4v2 2                   0.5
4v1 1 1 1               1
5v5                     1
5v4 1                   0.702706
5v3 2                   0.723607
5v2 1 1 1               0.999575
6v6                     0.546529
6v5 1                   0.581809
6v4 2                   0.5
6v3 1 1 1               0.581963
6v3 3                   0.444029
6v2 1 2 1               0.444029
6v2 1 1 2               0.5
6v1 1 1 1 1 1           0.546529
